"Time (s)","Sound pressure level (dB)"
7.705468420E2,5.997419240E1
7.706501890E2,5.812420642E1
7.707518234E2,5.995618295E1
7.708583668E2,5.879443594E1
7.709634716E2,5.996465494E1
7.710673780E2,5.976399578E1
7.711689776E2,5.751265517E1
7.712755265E2,5.965064820E1
7.713800978E2,5.955989193E1
7.714845882E2,6.023855117E1
7.715861659E2,5.920608062E1
7.716927775E2,6.002968221E1
7.717968052E2,6.036062633E1
7.719017551E2,6.173026617E1
7.720033263E2,6.286405968E1
7.721099072E2,5.940473115E1
7.722135156E2,6.330470700E1
7.723189296E2,6.026796230E1
7.724205082E2,6.107829086E1
7.725254066E2,5.993228032E1
7.726301282E2,5.928995380E1
7.727341122E2,6.020227961E1
7.728362356E2,5.915583043E1
7.729377900E2,5.884082548E1
7.730407673E2,5.899914128E1
7.731467823E2,5.943503548E1
7.732525390E2,6.049335107E1
7.733550231E2,6.170804455E1
7.734615722E2,6.387066544E1
7.735634849E2,5.897891469E1
7.736695494E2,5.938611663E1
7.737721613E2,5.932322514E1
7.738786902E2,5.917955811E1
7.739851855E2,5.905425683E1
7.740878739E2,6.014445618E1
7.741930216E2,5.773284250E1
7.742968098E2,5.768051295E1
7.744027994E2,5.991253898E1
7.745049749E2,5.714605999E1
7.746091981E2,5.867833732E1
7.747134382E2,5.846899366E1
7.748199579E2,5.775746069E1
7.749221266E2,5.771194320E1
7.750236603E2,5.926234958E1
7.751301140E2,6.022003032E1
7.752359118E2,5.894332438E1
7.753393313E2,5.864818230E1
7.754408545E2,5.857240063E1
7.755467735E2,5.882553891E1
7.756505794E2,5.883504617E1
7.757564555E2,5.782817309E1
7.758582125E2,5.741038136E1
7.759647477E2,5.770238259E1
7.760672830E2,5.767123572E1
7.761717535E2,5.684654056E1
7.762738764E2,5.951356609E1
7.763754445E2,5.911923865E1
7.764819375E2,5.899734848E1
7.765884862E2,5.783243561E1
7.766910035E2,5.841526929E1
7.767927256E2,5.854815125E1
7.768992595E2,6.069938393E1
7.770057580E2,6.157546773E1
7.771081667E2,5.796023072E1
7.772098879E2,5.832993093E1
7.773163275E2,5.805396527E1
7.774228025E2,5.752966030E1
7.775253293E2,5.699748692E1
7.776271074E2,5.836517778E1
7.777336438E2,5.956836368E1
7.778401467E2,6.106364962E1
7.779425095E2,5.959154572E1
7.780442281E2,5.991669373E1
7.781505931E2,5.858759953E1
7.782570068E2,5.946467547E1
7.783597434E2,5.962345211E1
7.784614275E2,5.814317222E1
7.785641942E2,5.816986114E1
7.786681370E2,5.812336887E1
7.787746212E2,5.829816833E1
7.788770747E2,5.995509699E1
7.789787493E2,5.932535982E1
7.790847451E2,5.897708178E1
7.791912301E2,5.858721666E1
7.792942582E2,5.862778928E1
7.793959485E2,5.943258541E1
7.795010486E2,5.833013123E1
7.796076898E2,5.959240495E1
7.797095123E2,5.835692859E1
7.798116705E2,5.740175643E1
7.799172708E2,5.921343005E1
7.800238231E2,5.848373845E1
7.801287523E2,5.943946544E1
7.802340233E2,5.834894038E1
7.803404374E2,5.772049636E1
7.804458494E2,5.757736855E1
7.805505881E2,5.891800177E1
7.806571184E2,5.816190897E1
7.807629237E2,5.757337515E1
7.808671203E2,5.845586302E1
7.809700312E2,5.920159008E1
